Horizon,Penalty R,Success Rate,Final Angle Error,Control Effort
10,0.001,1.0,0.005068285830567643,300.04813089627027
10,0.01,0.9,0.018975380020700826,298.2740842294048
10,0.1,0.0,1.3301096156807768,397.71491162990407
20,0.001,1.0,0.021680725088752205,267.30804139691287
20,0.01,1.0,0.02679980543193774,250.67044470412492
20,0.1,1.0,0.023031235270903627,229.63166771725392
40,0.001,0.8,0.04536406909028714,297.239094121323
40,0.01,0.9,0.031209927059753097,288.3833629391242
40,0.1,1.0,0.026706547850056772,291.50391821851457
